player,team,year_signed,years,contract_type,total_value,apy,guaranteed,fully_guaranteed,apy_pct_cap,unknown,inflated_value,inflated_apy,inflated_guaranteed,player_key,contract_id,pff_player_id,player_game_count,grades_offense,grades_pass_route,yprr,targets,receptions,yards,touchdowns,drop_rate,contested_catch_rate,avg_depth_of_target,slot_rate,wide_rate,yards_after_catch_per_reception,yards_per_reception,caught_percent,avoided_tackles,routes,first_downs,pass_plays,seasons_found,games_n1,injury_flag
Brandin Cooks,Saints,2025,2.0,,13000000.0,6500000.0,7750000.0,,0.023,,14024355,7012178,8360673,brandin cooks,320,8655,12.4,65.76,66.11,1.055,65.5,39.2,436.5,4.499999999999999,1.45,37.72,12.62,27.04,72.91999999999999,2.33,10.76,57.78,0.9999999999999999,394.9,26.9,425.7,3,10.0,1
Jauan Jennings,49ers,2024,2.0,,11890000.0,5945000.0,8435000.0,,0.023,,14022193,7011096,9947619,jauan jennings,321,48027,17.2,71.50999999999999,70.28000000000002,1.2879999999999998,47.7,32.099999999999994,403.0,2.0,6.4399999999999995,52.14,10.030000000000001,57.11,42.86,4.52,12.6,67.57,5.8999999999999995,312.09999999999997,22.0,334.0,3,16.0,0
Jacoby Jones,Ravens,2014,4.0,,12000000.0,3000000.0,3500000.0,,0.023,,27175940,6793985,7926316,jacoby jones,324,3689,7.199999999999999,41.58,41.76,0.756,37.8,22.2,273.0,1.2,1.56,0.0,9.059999999999999,5.1,54.9,2.04,7.38,35.22,1.7999999999999998,216.6,12.6,226.2,1,12.0,0
Michael Crabtree,Raiders,2015,1.0,,3200000.0,3200000.0,1300000.0,,0.022,,6726968,6726968,2732831,michael crabtree,326,4933,12.0,61.47,61.349999999999994,1.536,78.6,51.0,564.9,2.6999999999999997,9.36,0.0,8.34,19.29,70.47,4.109999999999999,10.47,57.6,7.8,351.3,27.9,375.6,2,16.0,0
Cedrick Wilson Jr.,Dolphins,2023,1.0,,5000000.0,5000000.0,5000000.0,,0.022,,6699288,6699288,6699288,cedrick wilson,328,48170,15.999999999999998,66.2,65.86999999999999,1.2469999999999999,34.800000000000004,24.5,308.09999999999997,1.9999999999999998,7.02,37.86,10.509999999999998,60.92,38.96,5.1000000000000005,12.0,70.74,1.3,220.6,14.8,236.2,3,16.0,0
D.J. Chark,Panthers,2023,1.0,,5000000.0,5000000.0,5000000.0,,0.022,,6699288,6699288,6699288,dj chark,329,47702,9.1,68.66,68.11,1.45,45.5,25.400000000000002,418.0,2.9,12.979999999999999,44.56999999999999,16.13,21.189999999999998,78.81,4.16,17.949999999999996,52.07999999999999,1.7999999999999998,285.3,20.2,296.0,3,11.0,1
Ted Ginn,Saints,2017,3.0,,11000000.0,3666667.0,3000000.0,,0.022,,19839521,6613174,5410778,ted ginn,330,3625,16.7,69.86,69.75999999999999,1.747,86.6,48.8,729.7,5.4,13.67,24.0,14.849999999999998,15.709999999999999,84.23,4.26,14.89,56.50000000000001,3.4,413.1,29.4,438.49999999999994,3,16.0,0
Tyrell Williams,Lions,2021,1.0,,4000000.0,4000000.0,4000000.0,,0.022,,6601644,6601644,6601644,tyrell williams,331,10154,6.0,26.54,26.650000000000002,0.617,26.6,17.4,270.9,2.3,3.7699999999999996,14.71,5.550000000000001,13.010000000000002,26.879999999999995,1.88,6.2299999999999995,26.169999999999998,1.4,176.4,13.100000000000001,185.7,2,,0
Travis Benjamin,Chargers,2019,1.0,,4000000.0,4000000.0,3000000.0,,0.021,,6401700,6401700,4801275,travis benjamin,332,7100,14.6,63.53999999999999,63.519999999999996,1.1969999999999998,42.800000000000004,23.9,355.99999999999994,2.1999999999999997,11.190000000000001,44.19,17.200000000000003,40.51,59.33,5.9,14.309999999999999,54.980000000000004,4.199999999999999,277.0,13.999999999999998,293.1,3,14.0,0
Breshad Perriman,Buccaneers,2019,1.0,,4000000.0,4000000.0,4000000.0,,0.021,,6401700,6401700,6401700,breshad perriman,333,9459,10.9,62.49,64.96000000000001,1.7850000000000001,30.699999999999996,15.9,277.0,1.5,9.9,27.47,17.15,19.359999999999996,80.49,3.6500000000000004,16.6,53.25,1.4,177.49999999999997,10.6,189.3,3,10.0,1
Deonte Harty,Bills,2023,2.0,,9500000.0,4750000.0,4750000.0,,0.021,,12728648,6364324,6364324,deonte harty,334,91470,7.4,63.07,63.540000000000006,1.4869999999999999,21.599999999999998,14.799999999999999,205.60000000000002,0.9999999999999999,2.65,22.5,5.069999999999999,38.0,60.44,5.119999999999999,9.600000000000001,87.44000000000001,3.0999999999999996,86.99999999999999,8.399999999999999,90.69999999999999,3,4.0,1
Brian Hartline,Browns,2015,2.0,,6000000.0,3000000.0,3000000.0,,0.021,,12613065,6306533,6306533,brian hartline,337,5031,14.399999999999999,61.290000000000006,60.84,1.0619999999999998,75.3,46.2,584.4,2.4,8.7,0.0,10.14,12.87,77.13,3.09,11.16,55.67999999999999,2.4,480.0,32.099999999999994,499.79999999999995,2,16.0,0
Cecil Shorts,Texans,2015,2.0,,6000000.0,3000000.0,1750000.0,,0.021,,12613065,6306533,3678811,cecil shorts,338,6266,11.7,59.03999999999999,58.230000000000004,1.1969999999999998,96.3,51.599999999999994,567.3,1.5,10.979999999999999,0.0,8.76,16.41,73.17,4.41,9.84,48.12,4.199999999999999,426.9,27.9,453.29999999999995,2,13.0,0
Parris Campbell,Giants,2023,1.0,,4700000.0,4700000.0,2900000.0,,0.021,,6297331,6297331,3885587,parris campbell,339,47940,12.2,62.51,62.96,1.201,57.3,41.4,429.50000000000006,2.0999999999999996,7.709999999999999,34.97,10.34,61.489999999999995,38.39,3.67,11.98,67.80999999999999,7.8,402.4,21.7,424.3,3,17.0,0
John Brown,Raiders,2021,1.0,,3750000.0,3750000.0,3240000.0,,0.021,,6189041,6189041,5347332,john brown,340,8726,13.7,68.13000000000001,68.49000000000001,1.4869999999999999,86.2,53.0,732.3,4.1,6.7700000000000005,45.25,13.85,14.41,85.56,3.9099999999999997,13.66,61.89,4.3,479.6,34.9,507.1,3,12.0,0
Russell Shepard,Panthers,2017,3.0,,10000000.0,3333333.0,2100000.0,,0.02,,18035928,6011975,3787545,russell shepard,344,8254,12.7,70.86,66.67,1.059,26.799999999999997,15.1,219.3,1.5,14.52,60.0,15.14,32.09,65.15,2.81,13.250000000000002,51.1,1.3,175.2,12.600000000000001,186.6,3,14.0,0
Byron Pringle,Bears,2022,1.0,,4125000.0,4125000.0,3900000.0,,0.02,,5967579,5967579,5642075,byron pringle,345,42345,17.5,63.42,61.57000000000001,1.25,53.8,39.300000000000004,466.7,5.199999999999999,9.829999999999998,76.0,10.209999999999999,57.0,39.83,4.299999999999999,11.77,73.22999999999999,6.8,380.40000000000003,26.8,409.0,3,20.0,0
Jacoby Jones,PIT/LAC,2015,2.0,,5500000.0,2750000.0,1600000.0,,0.019,,11561977,5780988,3363484,jacoby jones,348,3689,13.2,53.06999999999999,52.08,1.032,29.099999999999998,17.1,216.89999999999998,0.6,20.759999999999998,0.0,10.889999999999999,42.269999999999996,47.31,6.24,11.729999999999999,52.88999999999999,2.0999999999999996,182.1,9.899999999999999,192.89999999999998,2,16.0,0
Jauan Jennings,49ers,2024,1.0,,4890000.0,4890000.0,0.0,,0.019,,5766907,5766907,0,jauan jennings,350,48027,17.2,71.50999999999999,70.28000000000002,1.2879999999999998,47.7,32.099999999999994,403.0,2.0,6.4399999999999995,52.14,10.030000000000001,57.11,42.86,4.52,12.6,67.57,5.8999999999999995,312.09999999999997,22.0,334.0,3,16.0,0
Allen Lazard,Packers,2022,1.0,,3986000.0,3986000.0,0.0,,0.019,,5766490,5766490,0,allen lazard,351,48135,14.899999999999999,67.49000000000001,66.16,1.38,58.9,40.39999999999999,545.4,6.3,9.280000000000001,45.559999999999995,11.610000000000001,44.11,51.239999999999995,5.13,13.53,68.58999999999999,4.0,410.0,29.099999999999998,435.9,3,16.0,0
Deonte Harty,Saints,2022,1.0,,3986000.0,3986000.0,0.0,,0.019,,5766490,5766490,0,deonte harty,352,91470,12.3,83.45,82.69,2.381,44.8,30.7,429.79999999999995,2.0999999999999996,5.640000000000001,45.0,7.999999999999999,40.5,56.169999999999995,6.71,13.42,73.36,7.7,172.6,18.599999999999998,180.39999999999998,3,13.0,0
Jakobi Meyers,Patriots,2022,1.0,,3986000.0,3986000.0,0.0,,0.019,,5766490,5766490,0,jakobi meyers,353,47468,16.5,74.87,75.49,1.7520000000000002,105.4,73.69999999999999,798.1999999999999,1.2,5.05,68.41,10.139999999999999,63.589999999999996,35.91,3.16,11.22,70.28,4.699999999999999,469.0,39.800000000000004,502.59999999999997,3,18.0,0
Seth Roberts,Panthers,2020,1.0,,3750000.0,3750000.0,600000.0,,0.019,,5698789,5698789,911806,seth roberts,355,9079,16.2,62.13,61.92,1.073,46.099999999999994,31.599999999999998,374.29999999999995,1.9,7.539999999999999,62.980000000000004,10.299999999999999,38.67999999999999,59.31999999999999,3.61,12.22,67.46,3.6999999999999997,346.3,20.8,365.5,3,17.0,0
Jerricho Cotchery,Panthers,2014,2.0,,5000000.0,2500000.0,2250000.0,,0.019,,11323308,5661654,5095489,jerricho cotchery,356,1829,9.6,44.940000000000005,42.6,0.8220000000000001,44.4,27.599999999999998,361.2,6.0,4.8,0.0,6.48,46.98,10.62,2.88,7.859999999999999,37.32,2.4,262.8,21.599999999999998,274.2,1,16.0,0
Allen Hurns,Dolphins,2019,2.0,,7000000.0,3500000.0,2020588.0,,0.019,,11202976,5601488,3233800,allen hurns,359,8931,15.2,67.18,67.1,1.3079999999999998,46.3,29.9,405.9,2.0999999999999996,5.63,60.0,12.76,40.269999999999996,58.39,4.369999999999999,13.929999999999998,63.87,3.6999999999999997,305.7,19.3,325.7,3,17.0,0
Zach Pascal,Colts,2021,1.0,,3384000.0,3384000.0,0.0,,0.019,,5584991,5584991,0,zach pascal,360,12303,16.8,65.75999999999999,64.47999999999999,1.3070000000000002,71.3,43.4,609.8,5.3,7.5,36.14,11.55,59.47,38.94,5.140000000000001,13.930000000000001,60.7,4.3,464.4,29.4,497.7,3,17.0,0
Tim Patrick,Broncos,2021,1.0,,3384000.0,3384000.0,0.0,,0.019,,5584991,5584991,0,tim patrick,361,12087,13.0,70.72999999999999,71.13,1.509,57.4,37.699999999999996,542.0999999999999,3.6999999999999997,3.25,62.89,12.149999999999999,22.89,75.30000000000001,4.06,14.149999999999999,63.08,2.3999999999999995,339.8,25.4,360.79999999999995,3,15.0,0
Tyquan Thornton,Chiefs,2026,2.0,,11000000.0,5500000.0,7400000.0,,0.018,,11000000,5500000,7400000,tyquan thornton,362,78092,11.1,61.529999999999994,62.379999999999995,1.302,26.199999999999996,13.9,286.00000000000006,1.7999999999999998,7.33,42.33,22.65,28.669999999999998,71.33,4.3,18.1,52.58999999999999,0.3,187.99999999999997,9.9,199.79999999999998,3,14.0,0
JuJu Smith-Schuster,Chiefs,2022,1.0,,3760000.0,3760000.0,2490000.0,,0.018,,5439539,5439539,3602248,juju smith schuster,364,11817,9.899999999999999,62.11,62.58,1.07,69.5,49.2,444.59999999999997,3.3,4.9399999999999995,44.23,6.74,80.26,18.7,4.26,8.69,65.61,3.6999999999999997,360.2,24.2,382.6,3,6.0,1
Marquise Goodwin,49ers,2017,2.0,,6000000.0,3000000.0,4450000.0,,0.018,,10821557,5410778,8025988,marquise goodwin,365,7859,10.6,64.25,64.04,1.284,39.3,18.1,269.99999999999994,1.7999999999999998,5.64,30.0,15.149999999999999,13.04,86.96000000000001,2.4799999999999995,16.74,58.709999999999994,1.2,244.6,12.7,258.5,3,15.0,0
DeAndre Hopkins,Ravens,2025,1.0,,5000000.0,5000000.0,5000000.0,,0.018,,5393983,5393983,5393983,deandre hopkins,366,7808,17.4,78.27000000000001,78.24999999999999,1.791,100.8,64.3,772.2,5.999999999999999,4.5600000000000005,44.57000000000001,12.47,24.0,75.78999999999999,2.3799999999999994,11.83,64.96,3.8,425.3,40.7,464.50000000000006,3,19.0,0
